,id_factura,user_id,email,nombre,ciudad,direccion,documento_identidad,subtotal,precio_envio,total,fecha
11915,786,william.jackson404,jgutierrez@example.org,William Jackson,Cartagena,"Cl. 17 # 51L-6 Sur, Yolombó, 082516",9265136250,2229664,10000,2239664,2023-08-09
8843,787,shelly.thompson6429,franciscoortiz@example.com,Shelly Thompson,Bogotá,"Cl. 57Y # 18-4 Sur, Pailitas, 866437",3956242510,6304858,10000,6314858,2024-01-01
12665,788,vilma.even7759,guillermomunoz@example.org,Vilma Even,Medellín,"Transversal 113S # 7-30 Sur, Buenos Aires, 942061",8888889198,3529740,10000,3539740,2023-09-07
13748,789,sue.harry8997,antonio37@example.net,Sue Harry,Cali,"Calle 54 # 14-5 Sur, Aguadas, 943553",3277473363,3203732,10000,3213732,2023-01-04
13132,790,russell.goodemote976,bmartinez@example.com,Russell Goodemote,Medellín,"Calle 159 # 35-34 Sur, Mercaderes, 275756",2988737427,17184204,10000,17194204,2023-01-16
4676,791,booker.felberbaum259,andresarias@example.org,Booker Felberbaum,Medellín,"Carrera 8ª # 7-3 Sur, Barbosa, 709606",3486392152,3086724,10000,3096724,2023-08-06
10413,792,nisha.braden7314,roafanny@example.org,Nisha Braden,Bogotá,"Av. calle 2ª # 4-90 Este, Monterrey, 664404",5477722989,3798298,10000,3808298,2023-03-22
7360,793,louis.hitt4234,villamizarandres@example.com,Louis Hitt,Bogotá,"Cl. 184U Sur # 2-58, Montenegro, 181270",4122868538,12020376,10000,12030376,2023-03-09
13401,794,claudine.jones7268,gaviriaana@example.net,Claudine Jones,Cali,"Calle 79 # 73-81 Sur, Jericó, 944747",9190507308,22864212,10000,22874212,2023-10-02
12840,795,terry.brodie2923,antonio18@example.com,Terry Brodie,Bogotá,"Calle 144 # 82-93 Este, Morales, 132386",4409867209,1957906,10000,1967906,2023-03-01
4871,796,edward.coleman4733,hobando@example.com,Edward Coleman,Cartagena,"Calle 15 Bis # 50-70 Sur, Tello, 178682",5025872360,7141530,10000,7151530,2023-05-31
775,797,suzanne.shope7130,eacosta@example.org,Suzanne Shope,Bogotá,"Cl. 54 # 76B-5 Sur, Ráquira, 172192",3257873825,6956330,10000,6966330,2023-01-27
12534,798,joseph.sinotte3464,yuliana11@example.com,Joseph Sinotte,Cali,"Calle 38 # 3-94, Potosí, 854294",5592505966,12423925,10000,12433925,2023-08-08
5409,799,cinderella.smith7295,isabel96@example.net,Cinderella Smith,Bogotá,"Cl. 156 # 91-39, Puente Nacional, 953129",7741964761,22814722,10000,22824722,2023-10-24
13882,800,cynthia.huskin5041,yuli77@example.org,Cynthia Huskin,Bogotá,"Carrera 2ª # 39-40 Sur, Carurú, 707430",5246539007,23682645,10000,23692645,2023-06-24
8455,801,nisha.braden7314,roafanny@example.org,Nisha Braden,Bogotá,"Av. calle 2ª # 4-90 Este, Monterrey, 664404",5477722989,12779040,10000,12789040,2023-01-02
8354,802,miriam.cunningham2612,martinezlida@example.net,Miriam Cunningham,Cali,"Calle 114 # 1-2 Sur, Armero, 158569",3427263172,11604396,10000,11614396,2023-08-28
2180,803,nicole.wansley9954,christianmunoz@example.com,Nicole Wansley,Medellín,"Cr. 3ª # 22I-6 Este, Panqueba, 914404",3819049483,30945056,10000,30955056,2023-10-06
10173,804,james.walker5901,melojohanna@example.net,James Walker,Cali,"Carrera 160Y # 77H-30 Sur, Cota, 527008",6858135669,17713146,10000,17723146,2023-10-12
8310,805,ken.cuccia4543,bmendoza@example.net,Ken Cuccia,Cartagena,"Tr. 12 # 33-77 Sur, San Carlos de Guaroa, 638527",8320124067,6287799,10000,6297799,2023-08-02
11442,806,nicolas.verdin3778,quinterolucy@example.com,Nicolas Verdin,Bogotá,"Carrera 173 # 35-64, Güicán de la Sierra, 549969",8294890326,22298247,10000,22308247,2023-11-03
14924,807,sharon.tamulis8484,antonio15@example.com,Sharon Tamulis,Cali,"Calle 96 # 9-31, El Doncello, 682108",5691114029,10124091,10000,10134091,2023-01-17
10669,808,wayne.white2768,ggiraldo@example.net,Wayne White,Cali,"Avenida Casanare # 9-5 Sur, Natagaima, 139110",6678176162,7950656,10000,7960656,2023-06-11
2302,809,stephanie.morales3410,moradary@example.com,Stephanie Morales,Medellín,"Cl. 114 # 98-50, La Chorrera, 194538",6769212799,4212420,10000,4222420,2023-09-04
13664,810,amanda.kettler180,mariavargas@example.net,Amanda Kettler,Cartagena,"Tr. 48B # 6-1, Yopal, 739892",417151041,18225912,10000,18235912,2023-12-08
12181,811,daniel.larose4781,fernando92@example.net,Daniel Larose,Bogotá,"Carrera 80N # 65-51, Dabeiba, 203268",5971729631,14540496,10000,14550496,2023-01-08
114,812,eddie.gregory7793,jonathan18@example.net,Eddie Gregory,Bogotá,"Cr. 125M # 1-2, Olaya Herrera, 949527",2329854952,9534240,10000,9544240,2023-06-02
11645,813,nelly.coger4036,enrique15@example.net,Nelly Coger,Medellín,"Av. Rincón # 2M-58, El Carmen de Atrato, 735054",1542242865,19605089,10000,19615089,2023-11-04
12380,814,marion.sibley5398,pazalejandro@example.org,Marion Sibley,Bogotá,"Calle 23 # 49-94 Este, Córdoba, 686826",5850885953,11743266,10000,11753266,2023-12-21
8924,815,shoshana.majors9350,joserosero@example.com,Shoshana Majors,Medellín,"Cr. 67R # 20-9 Este, Río Quito, 523214",7523669946,26575024,10000,26585024,2023-08-25
10991,816,sara.robinson5220,ricardoramirez@example.org,Sara Robinson,Cartagena,"Carrera 144 # 5-6, Puerto Caicedo, 200037",1585438549,1799704,10000,1809704,2023-09-14
8857,817,wendy.moore5681,albeirosoto@example.org,Wendy Moore,Cali,"Cl. 82Y Bis # 37-8 Este, Chivolo, 270815",4186287948,6026110,10000,6036110,2023-02-06
3561,818,maritza.toto7278,luciasalazar@example.org,Maritza Toto,Cartagena,"Dg. 88 # 3-93 Este, Tarapacá, 418730",6293223992,641825,10000,651825,2023-04-23
4343,819,emily.blankenship5457,vangulo@example.org,Emily Blankenship,Medellín,"Tr. 69 # 9Z-3 Sur, Restrepo, 521159",5556234570,10795188,10000,10805188,2023-07-25
5121,820,laura.blakely5745,ksilva@example.com,Laura Blakely,Cartagena,"Dg. 121 # 9-41, Santiago, 664634",4167903742,10688286,10000,10698286,2023-05-25
8461,821,vincent.greve1053,ruth71@example.org,Vincent Greve,Cali,"Calle 7 Sur # 6-98 Este, Restrepo, 863265",3911053976,16475870,10000,16485870,2023-12-20
4212,822,regina.burke7965,murillonubia@example.org,Regina Burke,Medellín,"Carrera 128X Sur # 9B-80 Este, Popayán, 251278",8812451579,22325288,10000,22335288,2023-11-13
9254,823,raymond.fairbank778,javier79@example.org,Raymond Fairbank,Cali,"Carrera 33 # 3-4 Este, Arenal, 700762",8094825685,754749,10000,764749,2023-01-03
10453,824,steven.odom8490,jrodriguez@example.org,Steven Odom,Bogotá,"Cr. 15 # 5-45 Este, Busbanzá, 276771",9114755796,28434704,10000,28444704,2023-07-23
8603,825,bernardo.santana2127,alexander25@example.com,Bernardo Santana,Cartagena,"Av. calle 93 # 26Q-66, Purísima de la Concepción, 977371",5472244593,968676,10000,978676,2023-01-12
7846,826,brittney.barber379,fanny42@example.com,Brittney Barber,Medellín,"Calle 9A # 4W-2 Sur, Ciénaga de Oro, 862577",3903680167,30015936,10000,30025936,2023-09-24
13268,827,edward.carter9357,rmorales@example.com,Edward Carter,Cartagena,"Calle 79N # 45-4 Sur, Morroa, 238220",8793845510,36554688,10000,36564688,2023-10-10
11425,828,katherine.hormell2911,bguzman@example.net,Katherine Hormell,Medellín,"Diagonal 2C # 5-82, Los Córdobas, 278443",9982957345,1766598,10000,1776598,2023-03-28
7937,829,scott.andrews2527,teresa12@example.org,Scott Andrews,Cartagena,"Cl. 138 # 59-3, Sativasur, 993186",6017672943,7619510,10000,7629510,2023-05-19
9214,830,thomas.scott8350,esther85@example.net,Thomas Scott,Medellín,"Cr. 133G # 3-42, Tunja, 858922",8560600678,4764276,10000,4774276,2023-03-14
1439,831,edith.lutz8859,sandra01@example.com,Edith Lutz,Cali,"Cl. 82 # 7-5, San Fernando, 052351",7452301782,16018025,10000,16028025,2023-09-20
245,832,kenny.duarte8279,david40@example.com,Kenny Duarte,Bogotá,"Carrera 45 # 8-1 Este, La Uvita, 151989",9305459746,5613752,10000,5623752,2023-09-08
12401,833,daniel.larose4781,fernando92@example.net,Daniel Larose,Bogotá,"Carrera 80N # 65-51, Dabeiba, 203268",5971729631,19812072,10000,19822072,2023-04-22
7794,834,emerson.winters3328,fcorrea@example.org,Emerson Winters,Bogotá,"Cr. 8ª # 23-49 Sur, Valencia, 970256",6715786542,8101150,10000,8111150,2023-11-08
10534,835,ernest.crowell9250,leonmorales@example.net,Ernest Crowell,Bogotá,"Cl. 27 # 23-3, El Carmen de Chucurí, 236425",3261113884,16484209,10000,16494209,2023-05-04
6172,836,bobbie.smith7102,joelrodriguez@example.net,Bobbie Smith,Cali,"Carrera 36 # 75-29 Este, Baranoa, 975925",7870354132,32106560,10000,32116560,2023-03-30
14027,837,clifton.carroll8069,mherrera@example.net,Clifton Carroll,Medellín,"Cl. 126 # 41-8 Sur, Arroyohondo, 918176",2095500859,5881428,10000,5891428,2023-02-28
7794,838,naomi.riddick2907,ovalencia@example.org,Naomi Riddick,Medellín,"Cr. 165K Bis # 95-7, Soacha, 131570",7178576246,8101150,10000,8111150,2023-05-20
11107,839,elizabeth.anderson965,neidersuarez@example.com,Elizabeth Anderson,Medellín,"Cr. 2Z # 8-16 Sur, Baraya, 683150",128971781,3451397,10000,3461397,2023-04-29
13343,840,micah.linville6759,cgarcia@example.org,Micah Linville,Cali,"Calle 122 Sur # 7-38, Pisba, 203203",8249596682,12521016,10000,12531016,2023-01-11
4162,841,heather.brown4706,davidperez@example.net,Heather Brown,Bogotá,"Diagonal 172 # 4-4 Este, Tunja, 911437",6648973360,5545182,10000,5555182,2023-03-17
10144,842,nadine.cunningham7375,jhonmaldonado@example.net,Nadine Cunningham,Bogotá,"Avenida calle 2ª # 78-77 Sur, Coveñas, 112896",5643709980,4303656,10000,4313656,2023-01-29
12106,843,larry.proffitt7861,valenciaandres@example.com,Larry Proffitt,Bogotá,"Calle 69C Sur # 9-4 Sur, San José, 549376",3976869280,3075434,10000,3085434,2023-08-14
928,844,myron.reyes9359,diego74@example.com,Myron Reyes,Cartagena,"Carrera 20 # 66-8, Palestina, 502891",1922227307,43720,10000,53720,2023-08-09
5120,845,teri.zalewski1163,arangoingrid@example.org,Teri Zalewski,Medellín,"Av. calle 161 # 2L-17 Este, Ciénaga, 197457",3032690681,29295301,10000,29305301,2023-01-31
9582,846,eloise.garcia9553,tlopez@example.net,Eloise Garcia,Cartagena,"Carrera 188G # 70V-7 Este, Salazar, 198363",6351359377,12062160,10000,12072160,2023-03-12
3912,847,oscar.garza4344,ehernandez@example.com,Oscar Garza,Cartagena,"Av. calle 6ª # 26-97 Este, Los Santos, 663065",7816095154,19931184,10000,19941184,2023-08-05
13739,848,edna.sears383,torocarlos@example.com,Edna Sears,Bogotá,"Calle 168 Sur # 3-42 Sur, La Paz, 054338",3932621607,9290115,10000,9300115,2023-12-08
2412,849,rick.mcgee9934,juan84@example.net,Rick Mcgee,Bogotá,"Av. San Andrés # 48-5, Argelia, 523365",5582936668,28318120,10000,28328120,2023-04-20
12056,850,maureen.willson4204,mauriciomendez@example.net,Maureen Willson,Cartagena,"Dg. 37 # 7Q-86 Este, Almaguer, 866310",7175648158,89673,10000,99673,2023-03-16
6288,851,larry.marinas1273,pceron@example.com,Larry Marinas,Cali,"Carrera 61 # 47-9 Sur, Yacopí, 184804",876939864,4536072,10000,4546072,2023-07-18
381,852,michael.ross5670,tvega@example.net,Michael Ross,Medellín,"Dg. 74 # 63-1, Medina, 444312",3862665856,20855212,10000,20865212,2023-12-23
10464,853,mark.medina6249,danielgonzalez@example.com,Mark Medina,Cali,"Avenida calle 1ª # 55-36 Este, Restrepo, 504965",4218080251,12009885,10000,12019885,2023-01-30
13609,854,maggie.bell3361,rosa94@example.net,Maggie Bell,Cartagena,"Cr. 99X Este # 5-28 Este, Inírida, 945192",8055966734,703068,10000,713068,2023-05-22
10392,855,ronald.tower5769,cvalencia@example.net,Ronald Tower,Bogotá,"Tr. 23 # 69-25, Tota, 138117",6836494270,4254792,10000,4264792,2023-03-10
4373,856,patrick.canela4286,ruth57@example.com,Patrick Canela,Medellín,"Cr. 72 # 31F-56 Sur, La Salina, 115047",4320367319,5232062,10000,5242062,2023-01-17
10233,857,nadine.stpierre4228,elvirauribe@example.com,Nadine Stpierre,Cali,"Diagonal 36 # 13-3, Ayapel, 155038",4785636408,9536640,10000,9546640,2023-01-18
5019,858,dominic.salters8807,garcialuz@example.com,Dominic Salters,Medellín,"Cr. 98 # 8-7, Maceo, 473756",8851488037,434678,10000,444678,2023-12-14
10286,859,sharon.brooks6317,crojas@example.com,Sharon Brooks,Medellín,"Dg. 157B Este # 43-10 Este, San Pablo, 208668",1190930464,21636624,10000,21646624,2023-10-01
10531,860,jose.norman473,edithgaviria@example.com,Jose Norman,Cartagena,"Calle 134V # 32-40 Este, La Uvita, 500823",1489408884,10999134,10000,11009134,2023-04-07
7486,861,linda.chacon1884,trujilloandrea@example.org,Linda Chacon,Cali,"Calle 161 # 20P-78 Sur, Pensilvania, 052335",3481255808,3263964,10000,3273964,2023-10-07
6212,862,marianne.willmore8721,yesicaramirez@example.com,Marianne Willmore,Cartagena,"Cl. 169Q # 81-7, San Antonio, 687368",3211273322,24179994,10000,24189994,2023-09-01
7486,863,alice.harding1321,nguzman@example.org,Alice Harding,Cartagena,"Calle 55 # 21-3 Este, Solano, 701726",3560985226,3263964,10000,3273964,2023-12-22
12157,864,marcia.guerra4583,luz00@example.org,Marcia Guerra,Bogotá,"Calle 174 # 2R-34 Este, Santa Cruz de Mompox, 763650",655084374,8571504,10000,8581504,2023-06-25
1568,865,hyun.whitaker6300,viviana93@example.net,Hyun Whitaker,Bogotá,"Cl. 35 # 3-2 Sur, Galán, 869794",3402676147,37555839,10000,37565839,2023-01-30
12537,866,jacqueline.hightower8127,caroarmando@example.org,Jacqueline Hightower,Medellín,"Cl. 92O Este # 4-44 Este, Guática, 186395",8037652653,4331032,10000,4341032,2023-03-18
7213,867,gary.austin2490,luz54@example.org,Gary Austin,Cartagena,"Carrera 97 # 7-5 Este, Cepitá, 136399",6944614342,9102132,10000,9112132,2023-12-23
4454,868,alice.gurwell1575,alvaro29@example.com,Alice Gurwell,Medellín,"Cr. 151 # 71-77 Sur, Sopó, 914448",4602302080,2122132,10000,2132132,2023-12-26
10611,869,joseph.malloy6433,zbecerra@example.org,Joseph Malloy,Medellín,"Carrera 155 # 7-41 Este, Cerro de San Antonio, 411327",8698498520,5442072,10000,5452072,2023-02-12
2986,870,sheila.malin5352,luis68@example.org,Sheila Malin,Bogotá,"Cr. 42Q # 5-42, Los Patios, 865550",5457346187,18279408,10000,18289408,2023-02-18
12345,871,michelle.howell1550,murillojesus@example.com,Michelle Howell,Cali,"Cl. 115 # 5S-5 Sur, La Ceja, 194423",6912206438,15853545,10000,15863545,2023-11-19
9881,872,jessie.haight3098,alexanderpadilla@example.com,Jessie Haight,Medellín,"Tr. 186 # 3Q-96 Sur, Caldono, 195013",5057621337,3972087,10000,3982087,2023-08-24
2848,873,helen.mccurdy701,hernandezjuan@example.org,Helen Mccurdy,Cali,"Calle 150 Bis # 92-56 Este, Urumita, 201727",5094686284,22779930,10000,22789930,2023-05-01
4456,874,dan.phillips2562,salazarleon@example.org,Dan Phillips,Cali,"Carrera 70 # 4-87 Sur, Gachantivá, 991182",5157065540,13246947,10000,13256947,2023-09-11
14369,875,jeffery.jacques5636,claudiaavila@example.com,Jeffery Jacques,Cartagena,"Cl. 36 # 43-66 Sur, Pisba, 541964",6165310083,12305568,10000,12315568,2023-05-09
4742,876,gerardo.turner2150,andrea03@example.com,Gerardo Turner,Cartagena,"Cl. 82 # 54-77 Este, Soledad, 413506",3049828779,3935610,10000,3945610,2023-05-04
12481,877,christene.harrison9159,dvargas@example.net,Christene Harrison,Medellín,"Cr. 100 Bis # 31-5 Sur, Envigado, 869998",2611611702,23803906,10000,23813906,2023-11-28
1567,878,mitzi.barr6883,hmolina@example.com,Mitzi Barr,Bogotá,"Transversal 160 # 60-3 Este, Luruaco, 500944",8214119894,34857918,10000,34867918,2023-09-26
6535,879,sara.moore5539,luciasantos@example.net,Sara Moore,Cali,"Av. Hernández # 56-16 Este, Monguí, 950972",7423466121,12220275,10000,12230275,2023-09-19
13563,880,sharon.brooks6317,crojas@example.com,Sharon Brooks,Medellín,"Dg. 157B Este # 43-10 Este, San Pablo, 208668",1190930464,11570661,10000,11580661,2023-05-12
12429,881,lawrence.huckaby6130,jazminrojas@example.org,Lawrence Huckaby,Cartagena,"Av. carrera 4ª # 88-3, Nuquí, 525594",8567964051,22040724,10000,22050724,2023-04-19
7295,882,rene.holmes533,nelsonfernandez@example.org,Rene Holmes,Cali,"Carrera 82 # 7-2 Sur, Caicedonia, 509951",7833478028,21561687,10000,21571687,2023-09-03
5507,883,norman.trudell5956,sebastiannarvaez@example.org,Norman Trudell,Cali,"Av. calle 127 # 4-7, Une, 915605",3206722881,23463200,10000,23473200,2023-09-06
2460,884,frank.clemons7919,alberto34@example.net,Frank Clemons,Medellín,"Calle 31 # 79-83 Este, Algarrobo, 116999",5265697061,12142437,10000,12152437,2023-06-07
1679,885,angela.mention696,stella33@example.com,Angela Mention,Cartagena,"Carrera 7ª # 13-3 Sur, Ragonvalia, 238996",5755556240,16679856,10000,16689856,2023-12-28
11037,886,jolyn.swallow6436,mendezleidy@example.net,Jolyn Swallow,Cali,"Av. calle 3ª # 5-6 Este, El Carmen de Bolívar, 760584",4238800406,1240854,10000,1250854,2023-12-31
5698,887,anthony.meyer4698,javiermontenegro@example.net,Anthony Meyer,Cali,"Carrera 158 # 97-96 Este, Cáqueza, 087041",8268619499,27503688,10000,27513688,2023-08-04
1775,888,shara.jennings4823,vasquezjose@example.org,Shara Jennings,Cartagena,"Av. calle 178 # 3V-11 Este, Icononzo, 814915",629885227,24014424,10000,24024424,2023-04-17
61,889,john.mason7903,yeisonmendoza@example.com,John Mason,Cartagena,"Calle 195 # 8I-3 Sur, El Rosal, 943348",7471823846,3092661,10000,3102661,2023-01-16
3795,890,thomas.misfeldt8555,rosaandrade@example.org,Thomas Misfeldt,Cali,"Cr. 63 # 23W-4 Sur, San Alberto, 735237",9679758804,22641687,10000,22651687,2023-10-18
7264,891,michael.mangan6873,gutierrezmarly@example.com,Michael Mangan,Cali,"Av. calle 63 # 27Q-73 Sur, Imués, 764792",5016720131,6409737,10000,6419737,2023-03-02
9786,892,candy.fritz6550,valenciaadolfo@example.net,Candy Fritz,Medellín,"Calle 3ª # 9-7 Este, El Carmen de Viboral, 942568",5433240221,12940315,10000,12950315,2023-04-12
5074,893,lila.mccoy2261,maria57@example.net,Lila Mccoy,Medellín,"Cl. 5ª # 9-88 Este, Jamundí, 507385",1939137013,10450476,10000,10460476,2023-12-13
4840,894,mary.middleton8000,galvisarturo@example.com,Mary Middleton,Cartagena,"Transversal 9 Sur # 36-5 Este, Filadelfia, 231070",8437933571,7340130,10000,7350130,2023-11-30
13818,895,luis.grap6039,anaarias@example.org,Luis Grap,Cali,"Transversal 121 # 71-61 Sur, Chocontá, 815083",5220545984,14576216,10000,14586216,2023-06-26
13218,896,herbert.stafford2570,adolfo26@example.org,Herbert Stafford,Cali,"Calle 2J # 9S-5 Sur, Vergara, 660136",7406709099,3465423,10000,3475423,2023-02-08
798,897,ursula.lewis7519,felipe63@example.net,Ursula Lewis,Cartagena,"Cr. 7 Sur # 1-9 Sur, Chimichagua, 911207",1577241124,8036244,10000,8046244,2023-08-18
6329,898,jordan.johnson6649,suarezandres@example.com,Jordan Johnson,Cartagena,"Calle 72 # 66-74 Este, Herveo, 520148",8186927927,1256526,10000,1266526,2023-08-30
10336,899,joshua.livesey7755,morenojohanna@example.org,Joshua Livesey,Cali,"Calle 51 # 87-5 Sur, Potosí, 812869",3006773813,13462981,10000,13472981,2023-10-21
7089,900,anthony.johnson9688,hugovargas@example.net,Anthony Johnson,Bogotá,"Carrera 66 # 8-5 Sur, Bahía Solano, 545464",2065327303,27971769,10000,27981769,2023-02-23
3580,901,madeline.osterberg5164,andres00@example.com,Madeline Osterberg,Cali,"Cr. 8X # 5-8 Sur, Pivijay, 134713",8226386290,2138938,10000,2148938,2023-07-21
13102,902,loretta.olson7217,william53@example.org,Loretta Olson,Cartagena,"Av. Santander # 5-9, Magüí, 417103",6836458895,28655207,10000,28665207,2023-05-15
8531,903,emmanuel.carmichael2156,beatrizguevara@example.org,Emmanuel Carmichael,Bogotá,"Cl. 83 # 2I-2 Este, Hatillo de Loba, 055813",3798537814,3578512,10000,3588512,2023-01-01
6953,904,willie.krogstad6747,sonia48@example.net,Willie Krogstad,Cali,"Cl. 116Z Bis # 77U-1 Este, Roldanillo, 948709",9302916712,24358545,10000,24368545,2023-09-13
14612,905,keith.sanchez9824,sofia04@example.com,Keith Sanchez,Medellín,"Calle 68 # 40U-39 Este, Paz de Ariporo, 529006",9117079992,22982190,10000,22992190,2023-07-06
504,906,gary.mclendon432,dagobertoreyes@example.org,Gary Mclendon,Cali,"Carrera 141 # 68-7 Sur, Cajibío, 865206",5362566787,4350954,10000,4360954,2023-01-27
7208,907,elsie.jackson8260,fmarquez@example.net,Elsie Jackson,Cartagena,"Cl. 176T # 5-77, Caloto, 868767",1242758604,6444024,10000,6454024,2023-06-01
10104,908,maria.herrington7049,perezhenry@example.org,Maria Herrington,Cali,"Avenida carrera 1ª # 4-9 Sur, Achí, 631290",9286932073,651007,10000,661007,2023-01-06
7678,909,thomas.duncan324,pradarocio@example.com,Thomas Duncan,Cartagena,"Avenida Quindío # 6-4 Sur, Florián, 700974",2016472481,1383516,10000,1393516,2023-02-11
11374,910,scott.ritacco4501,jbecerra@example.org,Scott Ritacco,Cartagena,"Diagonal 176 # 69-28 Sur, San Bernardo, 250699",606973597,9894535,10000,9904535,2023-01-08
13746,911,martin.terry7411,mhernandez@example.net,Martin Terry,Cartagena,"Calle 74 # 4-8 Este, Honda, 134456",5686670402,9116370,10000,9126370,2023-05-05
11766,912,melinda.davis3986,amparocamargo@example.org,Melinda Davis,Cali,"Cr. 5S # 44-23 Sur, Salazar, 155559",2018025541,16201881,10000,16211881,2023-09-04
14468,913,mae.curtis9154,nelson81@example.org,Mae Curtis,Medellín,"Calle 182 # 24Q-56, Inírida, 184975",480627570,18680301,10000,18690301,2023-01-30
12553,914,robert.payan1707,jhernandez@example.org,Robert Payan,Bogotá,"Calle 70 # 46-53 Este, Rionegro, 474632",8607851361,1837864,10000,1847864,2023-07-14
10624,915,catherine.mosby1627,zulmagomez@example.net,Catherine Mosby,Bogotá,"Cl. 96 # 95-75, San Luis, 739575",8414999692,3167719,10000,3177719,2023-04-06
13530,916,marco.smith6672,alejandro30@example.net,Marco Smith,Cartagena,"Calle 120 # 2-98, Valparaíso, 547469",2067697623,28924980,10000,28934980,2023-04-22
4501,917,jacob.hobbs5029,perezdiana@example.com,Jacob Hobbs,Medellín,"Carrera 183 # 6-3 Este, San Estanislao, 995512",9304176981,12777184,10000,12787184,2023-09-16
1531,918,jeffrey.bryant3161,ana72@example.org,Jeffrey Bryant,Cartagena,"Tr. 10 # 6-16 Sur, Palocabildo, 545809",6074349421,13753530,10000,13763530,2023-09-18
11338,919,bobbie.oaks5812,martinezmauricio@example.net,Bobbie Oaks,Cartagena,"Transversal 180 # 22-28 Este, Chiquinquirá, 194374",3826000960,28760880,10000,28770880,2023-09-25
3221,920,nancy.rice6224,jesus70@example.net,Nancy Rice,Cartagena,"Avenida Ibarra # 1U-82, Boavita, 544580",1224268066,3842355,10000,3852355,2023-02-22
10657,921,robert.fitzgerald6634,barreramaria@example.org,Robert Fitzgerald,Bogotá,"Tr. 3J Bis # 3-42, Tuchín, 119033",1537237194,11193808,10000,11203808,2023-10-08
3959,922,daisy.barbin5298,jair36@example.com,Daisy Barbin,Cartagena,"Calle 9ª # 23-49 Sur, Sopó, 151593",3906695330,19176648,10000,19186648,2023-04-24
13478,923,deborah.kroeger1016,orestrepo@example.net,Deborah Kroeger,Cartagena,"Calle 5 Bis # 2-2 Sur, Urrao, 479737",1504427397,15811512,10000,15821512,2023-03-30
3877,924,joseph.carlson8062,diegogranados@example.com,Joseph Carlson,Cartagena,"Carrera 47 # 6-8, Santo Tomás, 177033",6338023229,3358818,10000,3368818,2023-05-05
11819,925,joan.love1277,villamildaniel@example.com,Joan Love,Cali,"Transversal 30 # 24-7 Este, Quípama, 470595",1988602246,7111626,10000,7121626,2023-09-30
3175,926,richard.wade7306,gladys27@example.org,Richard Wade,Bogotá,"Avenida calle 45 # 5-9 Sur, Aquitania, 082275",3459873732,22137472,10000,22147472,2023-12-22
12833,927,miguel.villalpando3434,osanchez@example.net,Miguel Villalpando,Cartagena,"Transversal 154 # 90-76 Sur, Caucasia, 529631",5626158322,31423077,10000,31433077,2023-05-11
13407,928,cecile.todd1017,pramirez@example.org,Cecile Todd,Bogotá,"Cl. 82 # 4-40 Este, Totoró, 052570",274063895,10159848,10000,10169848,2023-08-12
1449,929,betty.barber2531,beltranamanda@example.net,Betty Barber,Bogotá,"Tr. 78S # 8-2 Este, Pana Pana, 911833",1900695362,17234875,10000,17244875,2023-03-27
14535,930,norman.trudell5956,sebastiannarvaez@example.org,Norman Trudell,Cali,"Av. calle 127 # 4-7, Une, 915605",3206722881,10776108,10000,10786108,2023-10-23
69,931,daisy.barbin5298,jair36@example.com,Daisy Barbin,Cartagena,"Calle 9ª # 23-49 Sur, Sopó, 151593",3906695330,119284,10000,129284,2023-12-19
10950,932,shelly.castro1433,bbustos@example.com,Shelly Castro,Bogotá,"Carrera 165N # 4-4, Sutamarchán, 170313",9594679869,3456831,10000,3466831,2023-05-15
14359,933,dianne.gentry5367,jorgerueda@example.net,Dianne Gentry,Medellín,"Avenida carrera 9ª # 6-6 Sur, Chivatá, 137805",7581359670,12944992,10000,12954992,2023-04-16
14038,934,tina.borland550,herrerairma@example.net,Tina Borland,Bogotá,"Calle 70N # 52-2, Barbacoas, 271675",8711310141,12242514,10000,12252514,2023-12-21
2154,935,franklin.heffron5803,arnulfosuarez@example.org,Franklin Heffron,Bogotá,"Carrera 4N # 59-51 Este, Granada, 257089",7979457584,12538071,10000,12548071,2023-08-07
7207,936,felica.vergari9155,oscar21@example.com,Felica Vergari,Cartagena,"Av. calle 199 # 29-5 Este, Peñol, 414031",3683193525,12723948,10000,12733948,2023-08-22
8223,937,marsha.marsden7055,felipejimenez@example.org,Marsha Marsden,Cartagena,"Dg. 114U # 19-92, López de Micay, 815314",5863679571,5548890,10000,5558890,2023-09-06
3365,938,donald.alleyne5838,andres00@example.com,Donald Alleyne,Cali,"Carrera 96 Este # 8-20 Sur, La Unión, 254535",4551586916,4061970,10000,4071970,2023-09-24
2086,939,charles.levey3772,oardila@example.com,Charles Levey,Cartagena,"Cl. 10 # 1W-1 Sur, Icononzo, 812797",2013943590,777366,10000,787366,2023-04-15
6328,940,leroy.navarro3685,mariavasquez@example.org,Leroy Navarro,Bogotá,"Cl. 17 Bis # 63-21, Peque, 863382",2400182855,22807939,10000,22817939,2023-12-29
10140,941,brandy.brock9758,rodriguezdiego@example.com,Brandy Brock,Medellín,"Av. Almeida # 6-8, Puerto Gaitán, 159146",1732598851,18929736,10000,18939736,2023-06-14
13732,942,betty.ladner7566,alexandra19@example.net,Betty Ladner,Cartagena,"Cl. 158C # 8-99, Dosquebradas, 864473",1801313128,10239456,10000,10249456,2023-01-30
